Timestamp,CPU_Core0_Load,CPU_Core1_Load,CPU_Core2_Load,CPU_Core3_Load,CPU_Core4_Load,CPU_Core5_Load,CPU_Core6_Load,CPU_Core7_Load,CPU_Load_Avg,CPU_Temp_C,CV0_Temp_C,CV1_Temp_C,CV2_Temp_C,EMC_FREQ,GPU_Temp_C,GR3D_FREQ,NC_mW_Avg,NC_mW_Current,RAM_Total_MB,RAM_Used_MB,SOC0_Temp_C,SOC1_Temp_C,SOC2_Temp_C,SWAP_Total_MB,SWAP_Used_MB,Tboard_Temp_C,Tdiode_Temp_C,VDDQ_VDD2_1V8AO_mW_Avg,VDDQ_VDD2_1V8AO_mW_Current,VDD_CPU_CV_mW_Avg,VDD_CPU_CV_mW_Current,VDD_GPU_SOC_mW_Avg,VDD_GPU_SOC_mW_Current,VIN_SYS_5V0_mW_Avg,VIN_SYS_5V0_mW_Current,tj_Temp_C
08-14-2025 13:09:59,0,0,0,0,0,0,0,91,11.38,48.031,-256,-256,-256,0%,-256,0%,0,0,62801,2925,45.375,44.593,44.812,31400,0,38,39,605,605,1203,1203,2405,2405,3235,3235,48.187
08-14-2025 13:10:00,0,1,0,0,0,0,0,100,12.62,48.156,-256,-256,-256,0%,-256,0%,0,0,62801,2936,45.343,44.625,44.812,31400,0,38,38.75,605,605,1203,1203,2204,2004,3131,3028,48.156
08-14-2025 13:10:01,0,0,0,0,0,0,0,100,12.5,48.156,-256,-256,-256,0%,-256,0%,0,0,62801,2949,45.343,44.562,44.906,31400,0,38,39,605,605,1336,1604,2137,2004,3097,3028,48.156
08-14-2025 13:10:02,3,0,0,0,0,0,0,100,12.88,48.468,-256,-256,-256,0%,-256,0%,0,0,62801,2953,45.281,44.468,44.875,31400,0,38,38.75,605,605,1303,1203,2104,2004,3105,3129,48.468
08-14-2025 13:10:03,5,5,7,4,0,2,3,98,15.5,48.375,-256,-256,-256,0%,-256,0%,0,0,62801,3051,45.218,44.531,44.906,31400,0,38,38.75,605,605,1363,1604,2164,2405,3109,3129,48.187
08-14-2025 13:10:04,21,29,30,34,27,25,23,97,35.75,48.5,-256,-256,-256,0%,-256,0%,0,0,62801,3051,45.375,44.718,44.906,31400,0,38,39,605,605,1470,2005,2137,2005,3096,3028,48.5
08-14-2025 13:10:05,26,21,25,25,17,17,3,94,28.5,48.593,-256,-256,-256,0%,-256,0%,0,0,62801,3135,45.375,44.656,44.875,31400,0,38,39,605,605,1604,2406,2118,2005,3086,3028,48.593
08-14-2025 13:10:06,7,20,19,20,14,11,15,96,25.25,48.343,-256,-256,-256,0%,-256,0%,0,0,62801,3170,45.343,44.656,44.937,31400,0,38,38.75,605,605,1654,2005,2104,2005,3091,3129,48.625
08-14-2025 13:10:07,31,34,33,33,38,22,18,73,35.25,48.593,-256,-256,-256,0%,-256,0%,0,0,62801,3169,45.375,44.656,44.906,31400,0,38,39,605,605,1693,2005,2093,2005,3084,3028,48.593
08-14-2025 13:10:08,26,25,28,27,95,9,13,20,30.38,48.875,-256,-256,-256,0%,-256,0%,0,0,62801,3211,45.531,44.656,44.906,31400,0,38,39,605,605,1724,2005,2124,2405,3089,3129,48.875
08-14-2025 13:10:09,15,21,21,21,23,86,4,14,25.62,48.531,-256,-256,-256,0%,-256,0%,0,0,62801,3264,45.468,44.656,44.968,31400,0,38,39,605,605,1749,2005,2150,2405,3092,3129,48.531
08-14-2025 13:10:10,33,31,32,31,1,97,26,26,34.62,48.343,-256,-256,-256,0%,-256,0%,0,0,62801,3226,45.468,44.656,44.937,31400,0,38,38.75,605,605,1771,2005,2171,2405,3121,3438,48.343
08-14-2025 13:10:11,9,22,30,30,22,95,21,23,31.5,48.593,-256,-256,-256,0%,-256,0%,0,0,62801,3282,45.531,44.593,44.937,31400,0,38,39,605,605,1819,2406,2189,2405,3145,3438,48.593
08-14-2025 13:10:12,21,21,21,20,6,95,12,18,26.75,48.562,-256,-256,-256,0%,-256,0%,0,0,62801,3335,45.5,44.656,44.906,31400,0,38,39,605,605,1833,2005,2204,2405,3166,3438,48.625
08-14-2025 13:10:13,33,26,30,5,26,26,95,26,33.38,48.25,-256,-256,-256,0%,-256,0%,0,0,62801,3294,45.406,44.656,44.937,31400,0,38,39,598,504,1844,2005,2191,2004,3178,3336,48.25
08-14-2025 13:10:14,18,30,31,31,23,24,94,13,33.0,48.375,-256,-256,-256,0%,-256,0%,0,0,62801,3353,45.468,44.562,44.937,31400,0,38,39,598,605,1854,2005,2204,2405,3194,3438,48.375
08-14-2025 13:10:15,19,9,19,19,9,13,97,14,24.88,48.687,-256,-256,-256,0%,-256,0%,0,0,62801,3423,45.468,44.531,45.031,31400,0,38,39,599,605,1863,2005,2216,2405,3208,3438,48.562
08-14-2025 13:10:16,32,31,31,32,0,24,97,26,34.12,48.218,-256,-256,-256,0%,-256,0%,0,0,62801,3388,45.437,44.656,45,31400,0,38,39,593,504,1871,2005,2204,2005,3210,3235,48.218
08-14-2025 13:10:17,31,30,28,29,0,22,96,22,32.25,48.687,-256,-256,-256,0%,-256,0%,0,0,62801,3423,45.437,44.906,44.937,31400,0,38,39,594,605,1878,2005,2194,2004,3205,3129,48.687
08-14-2025 13:10:18,24,15,24,24,20,8,96,18,28.62,48.656,-256,-256,-256,0%,-256,0%,0,0,62801,3459,45.468,44.625,45.125,31400,0,38,39,594,605,1884,2005,2204,2405,3201,3129,48.562
08-14-2025 13:10:19,27,26,25,25,20,20,97,0,30.0,48.656,-256,-256,-256,0%,-256,0%,0,0,62801,3493,45.468,44.875,44.937,31400,0,38,39,595,605,1871,1604,2214,2405,3193,3028,48.656
08-14-2025 13:10:20,5,28,32,31,21,21,96,23,32.12,48.625,-256,-256,-256,0%,-256,0%,0,0,62801,3493,45.468,44.843,44.968,31400,0,38,39,595,605,1877,2005,2222,2405,3186,3028,48.625
08-14-2025 13:10:21,1,23,25,25,20,20,95,18,28.38,48.968,-256,-256,-256,0%,-256,0%,0,0,62801,3545,45.531,44.656,44.937,31400,0,38,39,596,605,1882,2005,2230,2405,3179,3028,48.968
08-14-2025 13:10:22,11,21,25,25,21,49,60,17,28.62,48.75,-256,-256,-256,0%,-256,0%,0,0,62801,3564,45.5,44.843,45.062,31400,0,38,39,596,605,1888,2005,2238,2405,3177,3129,48.75
08-14-2025 13:10:23,6,35,34,35,46,77,28,25,35.75,48.656,-256,-256,-256,0%,-256,0%,0,0,62801,3564,45.687,44.812,45.031,31400,0,38,39.25,596,605,1892,2005,2228,2004,3171,3028,48.656
08-14-2025 13:10:24,2,26,25,25,19,96,20,18,28.88,48.812,-256,-256,-256,0%,-256,0%,0,0,62801,3616,45.593,44.781,45.062,31400,0,38,39,597,605,1912,2406,2220,2004,3165,3028,48.812
08-14-2025 13:10:25,19,3,19,21,14,80,30,14,25.0,48.468,-256,-256,-256,0%,-256,0%,0,0,62801,3650,45.687,44.781,45,31400,0,38,39,597,605,1915,2005,2226,2405,3164,3129,48.468
08-14-2025 13:10:27,0,30,30,31,25,24,97,23,32.5,48.343,-256,-256,-256,0%,-256,0%,0,0,62801,3623,45.656,44.75,45.031,31400,0,38,39,597,605,1919,2005,2219,2004,3159,3028,48.468
08-14-2025 13:10:28,2,28,28,28,20,19,95,20,30.0,48.531,-256,-256,-256,0%,-256,0%,0,0,62801,3668,45.5,44.687,44.968,31400,0,38,39.25,598,605,1922,2005,2225,2405,3154,3028,48.531
08-14-2025 13:10:29,0,22,22,20,16,14,96,16,25.75,48.593,-256,-256,-256,0%,-256,0%,0,0,62801,3721,45.5,44.687,45.031,31400,0,38,39,598,605,1924,2005,2231,2405,3150,3028,48.593
08-14-2025 13:10:30,21,30,24,28,24,25,42,68,32.75,48.593,-256,-256,-256,0%,-256,0%,0,0,62801,3703,45.625,44.75,45.062,31400,0,38,39,595,504,1927,2005,2224,2004,3146,3028,48.593
08-14-2025 13:10:31,30,28,28,28,46,21,9,61,31.38,48.906,-256,-256,-256,0%,-256,0%,0,0,62801,3738,45.531,44.687,45.062,31400,0,38,39,595,605,1929,2005,2229,2405,3143,3028,48.875
08-14-2025 13:10:32,24,15,23,25,96,18,8,17,28.25,49,-256,-256,-256,0%,-256,0%,0,0,62801,3809,45.593,44.937,45.125,31400,0,38,39.25,595,605,1932,2005,2222,2004,3142,3129,49
08-14-2025 13:10:33,3,27,26,26,22,23,98,22,30.88,48.468,-256,-256,-256,0%,-256,0%,0,0,62801,3810,45.593,44.718,45.062,31400,0,38,39,593,504,1922,1604,2216,2004,3139,3028,48.468
08-14-2025 13:10:34,33,33,32,32,0,23,95,24,34.0,48.937,-256,-256,-256,0%,-256,0%,0,0,62801,3827,45.562,44.75,45.093,31400,0,38,39,593,605,1924,2005,2221,2405,3138,3129,48.937
08-14-2025 13:10:35,8,23,24,21,15,15,96,11,26.62,48.875,-256,-256,-256,0%,-256,0%,0,0,62801,3861,45.5,44.937,45.093,31400,0,38,39.25,593,605,1927,2005,2226,2405,3138,3129,48.875
08-14-2025 13:10:36,1,23,24,24,19,19,97,19,28.25,48.656,-256,-256,-256,0%,-256,0%,0,0,62801,3897,45.687,44.843,45.031,31400,0,38,39.25,594,605,1929,2005,2231,2405,3138,3129,48.656
08-14-2025 13:10:37,33,33,32,3,29,74,52,29,35.62,48.656,-256,-256,-256,0%,-256,0%,0,0,62801,3887,45.687,44.906,45.093,31400,0,38,39.25,594,605,1941,2406,2236,2405,3138,3129,48.718
08-14-2025 13:10:38,24,23,22,0,18,63,50,18,27.25,48.75,-256,-256,-256,0%,-256,0%,0,0,62801,3940,45.656,44.843,45.093,31400,0,38,39.25,594,605,1953,2406,2240,2405,3137,3129,48.75
08-14-2025 13:10:39,8,21,20,21,13,15,93,14,25.62,48.656,-256,-256,-256,0%,-256,0%,0,0,62801,3961,45.625,44.75,45.125,31400,0,38,39.25,594,605,1944,1604,2244,2405,3137,3129,48.656
08-14-2025 13:10:40,33,31,32,32,27,96,26,1,34.75,48.718,-256,-256,-256,0%,-256,0%,0,0,62801,3964,45.593,44.781,45.125,31400,0,38,39,595,605,1946,2005,2238,2004,3135,3028,48.718
08-14-2025 13:10:41,2,25,25,24,18,96,19,18,28.38,48.937,-256,-256,-256,0%,-256,0%,0,0,62801,4012,45.562,44.656,45.156,31400,0,38,39.25,595,605,1947,2005,2242,2405,3132,3028,48.937
08-14-2025 13:10:42,9,13,18,19,16,96,13,13,24.62,48.625,-256,-256,-256,0%,-256,0%,0,0,62801,4028,45.562,44.937,45.031,31400,0,38,39.25,595,605,1949,2005,2246,2405,3134,3235,48.937
08-14-2025 13:10:43,18,15,31,31,26,98,26,27,34.0,48.593,-256,-256,-256,0%,-256,0%,0,0,62801,4028,45.625,44.906,45.062,31400,0,38,39.25,593,504,1950,2005,2250,2405,3132,3028,48.593
08-14-2025 13:10:44,14,16,29,30,22,95,22,23,31.38,48.781,-256,-256,-256,0%,-256,0%,0,0,62801,4081,45.812,44.937,45.125,31400,0,38,39.25,593,605,1951,2005,2244,2004,3130,3028,48.781
